Tab,Pillar,Ticker,Current Price,RSI,P/E Ratio,P/S Ratio,Market Cap,Target Price,Graham Undervalued,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Investment Score
Investment Master,AI Cybersecurity,RBRK,70.22,52.84,,10.14,14453260000,94.37,,34.39,38.99,61.43,80.58,-20.25,,1.25,26.66,57.42,1.1,57.5
Investment Master,AI Semiconductor Chip Manufacturing,AMAT,617.11,76.01,57.98,16.88,489960280000,537.62,False,-12.88,11.41,33.44,48.96,29.31,0.3,1.58,0.46,81.86,1.46,43.1
Investment Master,AI Semiconductor Chip Manufacturing,LRCX,389.04,68.59,73.43,22.44,486522170000,344.93,False,-11.34,23.76,40.55,49.98,30.94,0.35,1.82,0.34,85.67,1.53,45.1
Investment Master,AI Semiconductor Chip Manufacturing,KLAC,259.56,70.21,73.38,25.9,339056810000,204.73,False,-21.12,11.52,11.65,59.91,35.68,1.05,1.44,0.13,91.75,2.0,38.9
Investment Master,AI Semiconductor Chip Manufacturing,ONTO,333.76,65.58,154.94,16.11,16602410000,353.27,False,5.85,9.51,-47.97,49.26,10.33,0.0,1.56,0.63,99.22,1.08,39.6
Investment Master,AI Semiconductor Chip Manufacturing,ACLS,187.53,63.41,58.42,6.82,5763530000,161.0,False,-14.15,3.32,-66.35,43.07,11.93,0.07,1.87,1.43,111.62,2.67,37.5
Investment Master,AI Semiconductor Chip Manufacturing,PLAB,33.63,43.01,12.32,2.3,1982950000,43.0,True,27.86,-0.5,268.2,33.77,18.47,0.0,1.38,4.06,95.68,1.0,63.7
Investment Master,AI Semiconductor Chip Manufacturing,TSM,462.12,63.43,38.41,18.04,2396776110000,460.4,False,-0.37,40.49,64.6,60.72,46.96,0.19,1.38,0.09,15.16,1.21,57.7
Investment Master,AI Semiconductor Chip Manufacturing,GFS,85.83,60.85,61.66,6.88,47070580000,80.7,False,-5.98,3.09,-51.3,26.11,11.37,0.15,1.76,76.16,25.64,2.12,37.6
Investment Master,AI Semiconductor Chip Manufacturing,INTC,133.99,64.21,,12.53,673433770000,100.98,,-24.64,7.18,-288.04,35.9,-5.9,0.4,2.2,15.51,61.98,2.53,32.2
Investment Master,AI Semiconductor Chip Manufacturing,TSEM,286.74,59.79,133.18,19.76,32045090000,313.83,False,9.45,15.48,60.32,24.77,15.13,0.05,0.86,6.3,73.66,1.5,45.7
Investment Master,AI Server and Rack Systems,SMCI,30.66,43.36,16.17,0.59,19833130000,35.87,False,16.99,122.68,314.07,8.39,3.7,1.21,1.97,13.87,54.63,2.9,66.6
Investment Master,AI Server and Rack Systems,DELL,409.5,64.41,32.54,1.98,265471090000,499.86,,22.07,87.49,281.26,19.09,6.27,,1.3,53.55,40.39,1.73,62.6
Investment Master,AI Server and Rack Systems,HPE,47.41,60.21,45.46,1.61,62780490000,68.59,False,44.67,40.64,150.91,31.36,3.7,0.84,1.41,0.38,93.6,2.0,59.8
Investment Master,AI Software and Platforms,NOW,95.04,40.81,56.53,7.02,98015510000,140.76,False,48.11,22.09,2.64,76.56,12.59,0.21,0.98,0.91,87.44,1.36,60.2
Investment Master,AI Software and Platforms,DDOG,223.0,52.42,595.14,21.62,79379120000,242.39,False,8.7,32.15,115.46,79.86,3.69,0.32,1.57,9.06,82.47,1.36,54.7
Investment Master,AI Software and Platforms,DT,41.42,53.75,77.26,5.98,12072920000,45.41,False,9.63,19.44,-54.84,81.56,8.06,0.06,0.74,1.1,101.95,1.77,48.9
Investment Master,AI Software and Platforms,AI,10.3,50.48,,5.98,1496500000,8.82,,-14.37,-52.54,-32.13,35.0,-187.95,0.01,2.03,12.61,59.15,3.4,28.8
Investment Master,AI Software and Platforms,MDB,332.75,49.66,,10.28,26763720000,399.82,,20.16,25.25,111.72,71.67,-1.12,0.02,1.54,4.01,90.63,1.6,61.0
Investment Master,AI Backup Power,BE,328.91,64.92,,38.2,93556440000,279.01,,-15.17,130.37,313.73,31.08,0.25,3.2,3.74,6.31,86.0,2.29,46.9
Investment Master,AI Backup Power,FLNC,24.8,56.71,,1.77,4570900000,18.65,,-24.8,7.71,33.88,11.1,-1.62,1.09,2.69,24.52,72.37,2.86,40.0
Investment Master,AI Backup Power,HYLN,8.1,69.6,,248.19,1444450000,7.0,,-13.58,479.14,33.23,-112.67,-888.12,0.02,3.39,32.13,24.99,1.67,40.7
Investment Master,AI Cloud,MSFT,379.4,34.91,22.6,8.86,2818348030000,559.29,False,47.41,18.3,23.32,68.31,39.34,0.3,1.14,1.53,75.92,1.23,68.0
Investment Master,AI Cloud,AMZN,244.39,44.03,29.21,3.54,2628929950000,316.56,False,29.53,16.61,75.33,50.6,12.22,0.51,1.47,8.95,66.62,1.22,62.0
Investment Master,AI Cloud,ORCL,184.29,43.08,31.63,7.87,530026480000,257.31,False,39.62,20.63,21.47,73.55,25.21,3.63,1.69,40.54,44.5,1.53,58.6
Investment Master,AI Cloud,CRWV,117.95,58.12,,10.33,64350020000,138.91,,17.77,111.69,-76.43,34.82,-25.58,7.39,6.7,38.03,44.69,1.92,46.1
Investment Master,AI Cloud,NBIS,286.69,69.71,95.65,82.18,72145660000,255.29,False,-10.95,621.52,521.4,7.48,95.27,1.31,4.1,19.73,50.32,1.94,51.6
Investment Master,AI Cloud,GOOGL,368.03,49.1,28.07,10.53,4455983810000,433.97,False,17.92,22.34,81.96,60.43,37.86,0.2,1.24,52.1,38.87,1.38,64.2
Investment Master,AI Fire Detection,JCI,144.82,53.9,25.9,3.62,88356950000,157.1,False,8.48,8.21,38.05,36.49,14.45,0.7,1.31,0.34,93.97,2.19,51.7
Investment Master,AI Fire Detection,CARR,71.81,62.44,47.18,2.73,59643980000,76.4,False,6.39,2.36,-39.54,25.18,5.98,0.93,1.31,4.74,89.69,2.03,39.6
Investment Master,AI Fire Detection,HON,229.01,56.21,32.46,3.66,145112900000,251.87,False,9.98,-6.9,-42.16,38.06,11.37,2.78,0.85,0.1,79.63,2.0,39.9
Investment Master,AI Water,XYL,111.42,50.6,27.68,2.92,26483810000,152.31,False,36.7,2.71,14.41,38.48,10.8,0.19,1.03,0.35,96.9,1.85,54.2
Investment Master,AI Water,BMI,135.5,62.82,30.64,4.41,3954640000,147.0,False,8.49,-8.97,-28.33,41.37,14.56,0.0,0.65,0.69,108.1,2.13,44.3
Investment Master,AI Water,MWA,26.13,52.83,19.83,2.79,4088590000,32.2,False,23.23,5.52,15.29,37.58,14.17,0.42,1.02,0.9,95.96,2.2,53.0
Investment Master,AI Insurance and Risk,AJG,214.06,53.75,34.55,3.67,54992010000,266.58,False,24.54,27.65,16.52,90.82,10.76,0.56,0.51,1.92,92.39,1.59,59.8
Investment Master,AI Insurance and Risk,RYAN,34.97,57.2,47.52,2.91,9220170000,41.56,False,18.84,14.57,158.3,,3.43,5.88,0.61,12.65,87.93,2.29,51.3
Investment Master,AI Security,MSI,395.17,37.74,31.86,5.53,65596470000,509.2,False,28.86,7.36,-13.97,49.07,17.61,3.77,0.89,0.41,90.04,1.47,51.4
Investment Master,AI Security,ALRM,44.38,45.35,18.41,2.12,2195060000,59.0,False,32.94,11.04,-10.25,62.66,12.36,0.66,0.78,5.9,97.51,2.5,56.4
Investment Master,AI Compute Chips,NVDA,210.69,50.38,32.27,20.11,5098698060000,310.62,False,47.43,85.23,213.42,74.15,62.97,0.07,2.2,4.09,70.36,1.25,75.5
Investment Master,AI Compute Chips,AMD,537.37,61.19,176.37,23.39,876235830000,498.62,False,-7.21,37.85,92.25,47.09,13.37,0.06,2.48,0.49,68.29,1.51,49.3
Investment Master,AI Compute Chips,AVGO,411.35,51.33,68.48,25.93,1957030590000,525.3,False,27.7,47.87,85.59,65.66,38.85,0.74,1.46,1.94,79.84,1.33,60.6
Investment Master,AI Compute Chips,MRVL,310.58,64.55,106.13,31.17,271695370000,247.55,False,-20.29,27.57,-81.0,50.64,28.99,0.3,2.16,0.77,78.13,1.43,36.7
Speculative Investments,AI Power Generation,OKLO,61.17,48.55,,,10643030000,88.26,,44.29,,-173.38,,,0.0,1.15,16.16,53.12,1.95,52.6
Speculative Investments,AI Power Generation,NNE,28.21,56.57,,,1469270000,45.6,,61.64,,69.08,,,0.0,5.12,17.8,46.27,1.33,72.9
